Werk;Fassung;Titel;TitleSort;Opus;Untertitel;Komponist;Textdichter;Bearbeiter;Tonart;Tongeschlecht;Taktzähler;Takteinheit;common;Verlag;Quellart;PlattenNrDipl;PlattenNr;Datierung;Widmung;Internal;Bemerkungen;perfHinweis;Tempo;Höhe;Breite;Seiten;Stecherei;Besetzung;Quellart;Folii;Pagina
x;;Abendfeier;Abendfeier;;;Ludwig Baumann;Inge Karsten;;a-flat;minor;4;4;true;Karl Hochstein Heidelberg;muspr;H. 3729 H.;3729;;Dem M. G. V. »Frohsinn« B. Baden und seinem Dirigenten Otto Schäfer gewidmet.;CMVS-HH-82;;;Weihevoll, nicht zu langsam;275;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Die Alpennacht;Alpennacht;;;Ludwig Baumann;Franz Dafert;;b-flat;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2239 H.;2239;1926;Dem »Mümling-Gau« und seinem Dirigenten, Herrn Göbel gewidmet.;CMVS-HH-57;;Kann in H-dur gesungen werden.;Feierlich, nicht zu langsam;270;173;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Als wär‘ die Welt zu klein;Als wär‘ die Welt zu klein;98;;Ludwig Baumann;Ferdinand Dietz;;g;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 1113 H.;1113;;Dem »Sängerbund Schwetzingen« und seinem verdienstvollen Dirigenten, Herrn Lenz gewidmet.;CMVS-HH-37;;;Fröhlich.;275;170;2;;T,T,B,B;;2;arabic
x;;An den Hochwald;An den Hochwald;;;Ludwig Baumann;Maria  Lillig;;b-flat;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 2380 H.;2380;;Dem Männergesangverein Weiskirchen und seinem Dirigenten, Herrn N. Barth, gewidmet.;CMVS-HH-62;;;Mit inniger Bewegung.;270;170;4;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;3;arabic
x;;An mein Schifflein;An mein Schifflein;;Barcarole;Ludwig Baumann;S. Dellevie;;c;major;6;8;;Karl Hochstein Heidelberg;muspr;H. 611 H.;611;;;CMVS-HH-6;;Der Chor kann in Des-dur gesungen werden.;Wiegend, leicht bewegt.;270;170;2;C. G. Röder G. m. b. H., Leipzig;S,A,T,B;;2;arabic
x;;Arbeitskameraden;Arbeitskameraden;;;Ludwig Baumann;Max Steege;;d;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 3470 H.;3470;1937;Herrn Musikdirektor Kurt Layher-Säckingen und seinem Männergesangverein »Liederkranz« Wehr, zur 75 Jahrfeier des Vereins (August 1937) gewidmet.;CMVS-HH-78;;;"Nicht schnell; wuchtig";270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Bergfreiheit;Bergfreiheit;27;Aus „Fröhlicher Herbst“, ein Weinidyll aus dem Elsass;Ludwig Baumann;A. F. Meyer;;c;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 315 H.;315;;Dem »Männergesangverein« Kirchheim und seinem verdienstvollen Dirigenten Herrn W. Grieser gewidmet.;CMVS-HH-1;;;Etwas langsam.;270;170;4;Printed in Germany;T,T,B,B;;3;arabic
;x;Bergfreiheit;Bergfreiheit;27;;Volkslied;Volkslied;Ludwig Baumann;b-flat;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 2091 H.;2091;;;CMVS-HH-53;Fassung für gemischten Chor;;Etwas langsam.;270;170;3;;S,A,T,B;Nachdruck;2;none
x;;Bergmann‘s Einfahrt;Bergmann‘s Einfahrt;101;;Ludwig Baumann;R. Otto;;c;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 981 H.;981;1910;Dem »Gesangverein Teningen« und seinem verdienstvollen Dirigenten Herrn  Karl Schmidt gewidmet.;CMVS-HH-29;;;Etwas getragen.;270;170;3;;T,T,B,B;;3;arabic
x;;Blau Veilchen;Blau Veilchen;;;Ludwig Baumann;unbekannt;;es;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 610 H.;610;;;CMVS-HH-5;;;Getragen, mit zartem Ausdruck.;270;170;2;;S,A,T,B;;2;arabic
